No,qlog,rtt,note
1,client_be7d2c6f9c2dcc91cc78d866a95718fcbd91.qlog,87.9468ms,> 2 roundTrips
2,client_f05466403758fd139931a6356879bbcb10b18f41.qlog,24.9843ms,
3,client_69c9cf01a097b7f8f31f023547bb72.qlog,22.9635ms,
4,client_2e51ddd6a9b6dc41cfefb80422a18be968aae0.qlog,23.9859ms,
5,client_5863d54e0e212a136d71f7da2b1338.qlog,27.983ms,
6,client_cb4304fd57d0a366464bdd2bc693.qlog,25.9837ms,
7,client_433d49d09d494e5038f352dd099f8ff1.qlog,24.9846ms,
8,client_c62654ca2fee5f5431b35e817f9b5e99294165.qlog,24.9843ms,
9,client_1dbbdbf752140b89b9585472a18065.qlog,23.9844ms,
10,client_32110f38a5f438a5.qlog,26.9831ms,
11,client_9837a3a77448a02ecedc.qlog,36.977ms,manual checked 0-rtt
12,client_e7cd3a8f77b1ffe76d9881.qlog,23.9849ms,
13,client_b2cc07af855fca0303ca07a2bf8f8787464544.qlog,25.9837ms,
14,client_969d8568c779626e7fe2f4675fa5ccbd.qlog,35.9783ms,manual checked 0-rtt
15,client_4fc94438d0b4a4f90e4ba35da7322c57753b828a.qlog,25.983ms,
16,client_58e54759d1c565df.qlog,27.9811ms,
17,client_f6f05db4f8075ca075c22d4f7f7d97ae.qlog,25.9855ms,
18,client_9ed99d8e61684a77fdc3655085fd5cd9e5fafbf5.qlog,24.9858ms,
19,client_fb22c4bf3f2eeb099ea0dcc706bc03ef2995.qlog,28.9825ms,
20,client_c3a6af66a2686449.qlog,24.9844ms,
21,client_efbde21883b4abaca7ec7a1a7c2b04d5.qlog,24.9848ms,
22,client_653b3d4495918c8f23445909442ca599d188.qlog,27.9817ms,
23,client_e3e89901de5e59c5.qlog,24.6276ms,
24,client_ae6fed429c9207dbab.qlog,35.978ms,manual checked 0-rtt
25,client_a243d0715809cd0ef792675c68011f.qlog,79.9516ms,manual checked 0-rtt
26,client_ac7b0bf1c2efe195d39f.qlog,48.9706ms,manual checked 0-rtt
27,client_c8b8c650f99974b18fde533f4134.qlog,25.9789ms,
28,client_0b978a7a6f35a707a898be54ad758f.qlog,24.9842ms,
29,client_a2b2ac0150974693.qlog,27.9838ms,
30,client_10114c18a6f427f64119cd.qlog,23.5126ms,
31,client_d62825e8c9d5cf63.qlog,24.9844ms,
32,client_a8fd8e78dc33a20926a10f566d72405b031ddbe4.qlog,25.9836ms,
33,client_df6e0adf21df29fcb2d4.qlog,25.9842ms,
34,client_c177a0504a03273f91fd628aeeaf.qlog,28.9822ms,
35,client_e49c724e334673eda3e7f5623371.qlog,25.9844ms,
36,client_5fc482405cc83c59fac285be1fb26298.qlog,26.9831ms,
37,client_f611d0af67fe5d783fee36aa035c8155890e44.qlog,24.9848ms,
38,client_6deca559dfb274ea2abd.qlog,25.9827ms,
39,client_6bfb810400481a47e5030cdc83d1.qlog,23.9845ms,
40,client_29fc6f28e3b5e35f.qlog,26.9837ms,
41,client_6e37cf53fea3f77774aa3f23a2d8d1.qlog,29.9816ms,
42,client_ee6a9d23a0a13562.qlog,23.985ms,
43,client_f298740338db6f67453b.qlog,28.9838ms,
44,client_416ad7df6a0cb0bb11fe59061b3adde3.qlog,39.975ms,manual checked 0-rtt
45,client_858b0f59aecc7e156c69c23f164736bfc097.qlog,25.9828ms,
46,client_b16079a1cb338aaec2f2be091bde.qlog,23.9833ms,
47,client_ef7ad3449495d245d71259ef7544bb0d5cefacfc.qlog,23.9854ms,
48,client_b59debd80f03bb09e3abb8bd.qlog,23.9851ms,
49,client_c0faab2756416c959e19f998ddab8147.qlog,29.9809ms,
50,client_d931af64fa06270887e7827946b9.qlog,26.9832ms,
